business_id|insertedAtTimestamp|name|address|coordinates|number_of_reviews|rating|zip_code|cuisine
ByJBXa3HwPqw8eSPfDObkg|2024-10-17 21:27:50.441470|Mint Heights|46 Henry St, Brooklyn, NY 11201|40.699657772028765,-73.99217437260721|146|4.4|11201|Indian
hmNxdAbt0tiGm8_vPdXCSA|2024-10-17 21:27:50.441488|Afghan Kebab House II|1345 2nd Ave, New York, NY 10021|40.76807,-73.95924|234|3.8|10021|Indian
jUkSkpxsJxiTa5C-H5pnyw|2024-10-17 21:27:50.441674|Tikka N Talk|70-11 Austin St, Lower Level, Forest Hills, NY 11375|40.72097,-73.84639|153|4.3|11375|Indian
1SgiWHlFN5mp5gNLSGx2Ww|2024-10-17 21:27:50.441695|Panna II Garden Indian Restaurant|93 1st Ave, Ste 2, New York, NY 10003|40.7262719713915,-73.98652368549939|1189|2.9|10003|Indian
jb-Fe1cC3ZARF9xyFvJQYQ|2024-10-17 21:27:50.441714|Tandoor Oven|175 E 83rd St, New York, NY 10028|40.77715077114621,-73.9556964|214|3.7|10028|Indian
hfCU-GH8GP6vjAknXUyhKQ|2024-10-17 21:27:50.441731|Cardamom Indian cuisine|43-45 43rd St, Sunnyside, NY 11104|40.743889234185886,-73.92121686092719|292|4.5|11104|Indian
7G-Ud62Mpi-YhEjQOjCHhg|2024-10-17 21:27:50.441750|Cumin N Eat|700 Plaza Dr, Secaucus, NJ 07094|40.785867,-74.044791|198|4.4|07094|Indian
ATrDmKiZ-YrAcG3hR7LLgg|2024-10-17 21:27:50.441767|Tadka Fine Indian Cuisine|1297 Paterson Plank Rd, Secaucus, NJ 07094|40.79015,-74.05819|142|3.5|07094|Indian
8Nva_eS_FxPOqVuUOvqz_Q|2024-10-17 21:27:51.381001|Indian Summer Harlem|239 Lenox Ave, New York, NY 10027|40.805898,-73.947324|185|4.4|10027|Indian
WWpOWqOgS9ClYvxYVzR0lg|2024-10-17 21:27:51.381107|Tikka Indian Grill|185 Grand St, Brooklyn, NY 11211|40.71441,-73.96078|391|4.2|11211|Indian
yV7brOiTLS3Lmwws8e3nXA|2024-10-17 21:27:51.381127|Dil-e Punjab Deli|170 9th Ave, New York, NY 10011|40.744865,-74.00211|220|4.4|10011|Indian
ZZQkvnRoO5YfCAlOjd2heA|2024-10-17 21:27:51.381145|Diwali Indian Cuisine|1221 Fulton St, Brooklyn, NY 11216|40.680704,-73.952627|14|4.9|11216|Indian
Va_mnsEvBghHXvc7uZIWJQ|2024-10-17 21:27:51.381163|Spice Symphony - Lexington|182 Lexington Ave, New York, NY 10016|40.744722,-73.981202|697|4.2|10016|Indian
VMSO12sjs6W415PSogC7PA|2024-10-17 21:27:51.381179|Paratha Junction|779 Newark Ave, Jersey City, NJ 07306|40.7352836673254,-74.0638660967438|189|3.2|07306|Indian
qs5aBgcT2v1BFlW-XqQS0Q|2024-10-17 21:27:51.381198|Biryani Cart|46th St & 6th Ave, New York, NY 10003|40.757403,-73.9822503|571|3.7|10003|Indian
